HPO_ID,Description,Depth
HP:0032269,Lemon sign,3
HP:0041090,Avulsion fractured pelvic region of trunk,3
HP:0025429,Abnormal cry,3
HP:0001218,Autoamputation,3
HP:0001892,Abnormal bleeding,3
HP:0025144,Shivering,3
HP:0012029,Abnormal urine hormone level,3
HP:0100589,Urogenital fistula,3
HP:0012373,Abnormal eye physiology,3
HP:0001787,Abnormal delivery,3
HP:0032483,Abnormal fecal test result,3
HP:0009025,Increased connective tissue,3
HP:0410008,Abnormality of the peripheral nervous system,3
HP:0011842,Abnormality of skeletal morphology,3
HP:0001194,Abnormalities of placenta or umbilical cord,3
HP:0020047,Abnormal myeloid cell morphology,3
HP:0005561,Abnormality of bone marrow cell morphology,3
HP:0002012,Abnormality of the abdominal organs,3
HP:0012638,Abnormal nervous system physiology,3
HP:0031704,Abnormal ear physiology,3
HP:0033012,Abnormal salivary metabolite concentration,3
HP:0012252,Abnormal respiratory system morphology,3
HP:0011843,Abnormality of skeletal physiology,3
HP:0040166,Abnormality of the periosteum,3
HP:0012378,Fatigue,3
HP:0010948,Abnormality of the fetal cardiovascular system,3
HP:0012531,Pain,3
HP:0032479,Preimplantation lethality,3
HP:0001877,Abnormal erythrocyte morphology,3
HP:0025406,Asthenia,3
HP:0041118,Fractured upper limb segment,3
HP:0001557,Prenatal movement abnormality,3
HP:0000079,Abnormality of the urinary system,3
HP:0002814,Abnormality of the lower limb,3
HP:0100790,Hernia,3
HP:0045026,Abnormality of the mediastinum,3
HP:0025276,Abnormality of skin adnexa physiology,3
HP:0011792,Neoplasm by histology,3
HP:0025116,Fetal distress,3
HP:0032243,Abnormal tissue metabolite concentration,3
HP:0031169,Postterm pregnancy,3
HP:0032251,Abnormal immune system morphology,3
HP:0001438,Abnormal abdomen morphology,3
HP:0001609,Hoarse voice,3
HP:0032180,Abnormal circulating metabolite concentration,3
HP:0012337,Abnormal homeostasis,3
HP:0011793,Neoplasm by anatomical site,3
HP:0031703,Abnormal ear morphology,3
HP:0010766,Ectopic calcification,3
HP:0041117,Fractured lower limb segment,3
HP:0001872,Abnormal thrombocyte morphology,3
HP:0025143,Chills,3
HP:0410014,Abnormality of ganglion,3
HP:0030680,Abnormality of cardiovascular system morphology,3
HP:0030753,Intrauterine fetal demise of one twin after midgestation,3
HP:0000847,Abnormality of renin-angiotensin system,3
HP:0031058,Impairment of activities of daily living,3
HP:0032245,Abnormal metabolism,3
HP:0025521,Increased body fat percentage,3
HP:0004298,Abnormality of the abdominal wall,3
HP:0020054,Abnormal erythrocyte physiology,3
HP:0031071,Abnormal endocrine morphology,3
HP:0012680,Abnormality of the pineal gland,3
HP:0031094,Abnormal breast physiology,3
HP:0011804,Abnormal muscle physiology,3
HP:0004323,Abnormality of body weight,3
HP:0040068,Abnormality of limb bone,3
HP:0100658,Cellulitis,3
HP:0001977,Abnormal thrombosis,3
HP:0031072,Abnormal endocrine physiology,3
HP:0000951,Abnormality of the skin,3
HP:0025033,Abnormality of digestive system morphology,3
HP:0000834,Abnormality of the adrenal glands,3
HP:0031110,Twin-to-twin transfusion,3
HP:0001978,Extramedullary hematopoiesis,3
HP:0000002,Abnormality of body height,3
HP:0002795,Functional respiratory abnormality,3
HP:3000050,Abnormality of odontoid tissue,3
HP:0000873,Diabetes insipidus,3
HP:0011025,Abnormal cardiovascular system physiology,3
HP:0002597,Abnormality of the vasculature,3
HP:0025032,Abnormality of digestive system physiology,3
HP:0031801,Vocal cord dysfunction,3
HP:0001560,Abnormality of the amniotic fluid,3
HP:0010932,Abnormal circulating nucleobase concentration,3
HP:0100555,Asymmetric growth,3
HP:0031462,Musculotendinous retraction,3
HP:0031170,Female fetal virilization,3
HP:0032207,Abnormal cerebrospinal fluid metabolite concentration,3
HP:0040172,Abnormality of occipitofrontalis muscle,3
HP:0003117,Abnormal circulating hormone level,3
HP:0030853,Heterotaxy,3
HP:0002686,Prenatal maternal abnormality,3
HP:0001620,High pitched voice,3
HP:0000078,Abnormality of the genital system,3
HP:0000864,Abnormality of the hypothalamus-pituitary axis,3
HP:0100758,Gangrene,3
HP:0030166,Night sweats,3
HP:0001611,Nasal speech,3
HP:0025021,Abnormal erythrocyte sedimentation rate,3
HP:0001946,Ketosis,3
HP:0000820,Abnormality of the thyroid gland,3
HP:0030917,Low APGAR score,3
HP:0001623,Breech presentation,4
HP:0004447,Poikilocytosis,4
HP:0010496,Hypertrophy of the lower limb,4
HP:0020110,Bone fracture,4
HP:0030453,Abnormal visual electrophysiology,4
HP:0100022,Abnormality of movement,4
HP:0012769,Abnormal arm span,4
HP:0410016,Abnormality of cranial ganglion,4
HP:0031205,Reduced lysosomal acid lipase activity,4
HP:0001965,Abnormal scalp morphology,4
HP:0032519,Increased Burr cell count,4
HP:0025008,Tracheal tug on inspiration,4
HP:0031835,Abnormal superoxide dismutase level,4
HP:0031063,Impaired feeding ability,4
HP:0005217,Duplication of internal organs,4
HP:0001732,Abnormality of the pancreas,4
HP:0410019,Epigastric pain,4
HP:0500005,Anal pain,4
HP:0031411,Abnormal chromosome morphology,4
HP:0006536,Pulmonary obstruction,4
HP:0012103,Abnormality of the mitochondrion,4
HP:0009728,Neoplasm of striated muscle,4
HP:0410144,Abnormal biotinidase level,4
HP:0025421,Pneumomediastinum,4
HP:0200013,Neoplasm of fatty tissue,4
HP:0002973,Abnormality of the forearm,4
HP:0001279,Syncope,4
HP:0001635,Congestive heart failure,4
HP:0004371,Abnormality of glycosaminoglycan metabolism,4
HP:0040286,Abnormal axial muscle morphology,4
HP:0000475,Broad neck,4
HP:0004356,Abnormality of lysosomal metabolism,4
HP:0004303,Abnormal muscle fiber morphology,4
HP:0000823,Delayed puberty,4
HP:0012420,Meconium stained amniotic fluid,4
HP:0046506,Pain in head and neck region,4
HP:0001528,Hemihypertrophy,4
HP:0030157,Flank pain,4
HP:0011875,Abnormal platelet morphology,4
HP:0041053,Fractured head,4
HP:0040127,Abnormal sweat homeostasis,4
HP:0031062,Impaired transferring ability,4
HP:0001311,Abnormal nervous system electrophysiology,4
HP:0100886,Abnormality of globe location,4
HP:0012021,Persistent patent ductus venosus,4
HP:0020071,Viremia,4
HP:0025132,Abnormal circulating estrogen level,4
HP:0003716,Generalized muscular appearance from birth,4
HP:0012640,Abnormality of intracranial pressure,4
HP:0011437,Maternal autoimmune disease,4
HP:0003808,Abnormal muscle tone,4
HP:0012309,Cutaneous amyloidosis,4
HP:0100823,Genital hernia,4
HP:0031101,Abnormal antimullerian hormone level,4
HP:0031685,Abnormal stool composition,4
HP:0031821,Abnormal hypoxanthine-guanine phosphoribosyltransferase level,4
HP:0030637,Congenital stationary cone dysfunction,4
HP:0012688,Abnormality of pineal physiology,4
HP:0031898,Rouleaux formation,4
HP:0012130,Abnormal erythroid lineage cell morphology,4
HP:0004302,Functional motor deficit,4
HP:0000098,Tall stature,4
HP:0001324,Muscle weakness,4
HP:0011410,Caesarian section,4
HP:0040222,Maternal thrombophilia,4
HP:0031212,Abnormal circulating progesterone level,4
HP:0011133,Increased sensitivity to ionizing radiation,4
HP:0003643,Sulfite oxidase deficiency,4
HP:0008897,Postnatal growth retardation,4
HP:0025463,Abnormality of redox activity,4
HP:0500020,Abnormal cardiac biomarker test,4
HP:0001155,Abnormality of the hand,4
HP:0010876,Abnormal circulating protein level,4
HP:0011013,Abnormal circulating carbohydrate concentration,4
HP:0031061,Impaired toileting ability,4
HP:0032192,Hydatidiform mole,4
HP:0012022,Congenital portosystemic venous shunt,4
HP:0500012,Abnormality of gonadotropin-releasing hormone level,4
HP:0012134,Dysplastic erythropoesis,4
HP:0040214,Abnormal insulin level,4
HP:0100249,Calcification of muscles,4
HP:0002960,Autoimmunity,4
HP:0031218,Inappropriate antidiuretic hormone secretion,4
HP:0000271,Abnormality of the face,4
HP:0012113,Abnormal circulating creatine concentration,4
HP:0011122,Abnormality of skin physiology,4
HP:0003326,Myalgia,4
HP:0011428,Short fetal femur length,4
HP:0025427,Abnormal bronchus physiology,4
HP:0025431,Staccato cry,4
HP:0500018,Abnormal cardiac exercise stress test,4
HP:0003655,Reduced level of N-acetylglucosaminyltransferase II,4
HP:0025015,Abnormal vascular morphology,4
HP:0410169,Abnormal morphology of the shoulder musculature,4
HP:0004377,Hematological neoplasm,4
HP:0012380,Reduced carnitine O-palmitoyltransferase level,4
HP:0031215,Decreased circulating dehydroepiandrosterone-sulfate level,4
HP:0011873,Abnormal platelet count,4
HP:0100000,Early onset of sexual maturation,4
HP:0003204,Intracellular accumulation of autofluorescent lipopigment storage material,4
HP:0001563,Fetal polyuria,4
HP:0009142,Duplication of bones involving the upper extremities,4
HP:0009763,Limb pain,4
HP:0032329,Increased urinary 11-deoxycortisol level,4
HP:0003198,Myopathy,4
HP:0001597,Abnormality of the nail,4
HP:0003492,High urinary gonadotropin level,4
HP:0012345,Abnormal glycosylation,4
HP:0410009,Abnormality of the somatic nervous system,4
HP:0032655,Decreased adipose tissue tocopherol level,4
HP:0040291,Skeletal muscle steatosis,4
HP:0020193,Prolonged reptilase time,4
HP:0003267,Reduced orotidine 5-prime phosphate decarboxylase level,4
HP:0011121,Abnormality of skin morphology,4
HP:0002578,Gastroparesis,4
HP:0031459,Soft tissue neoplasm,4
HP:0005982,Reduced phenylalanine hydroxylase level,4
HP:0001561,Polyhydramnios,4
HP:0011890,Prolonged bleeding following procedure,4
HP:0020174,Refractory drug response,4
HP:0011018,Abnormality of the cell cycle,4
HP:0004312,Abnormal reticulocyte morphology,4
HP:0032576,Intracellular accumulation of Dol-PP-GlcNAc2Man5,4
HP:0003552,Muscle stiffness,4
HP:0004375,Neoplasm of the nervous system,4
HP:0025231,Abnormality of synovial bursa morphology,4
HP:0031456,Ectopic pregnancy,4
HP:0001627,Abnormal heart morphology,4
HP:0020170,Increased blood drug concentration,4
HP:0004324,Increased body weight,4
HP:0011427,Enlarged fetal cisterna magna,4
HP:0011431,Fetal fifth finger clinodactyly,4
HP:3000052,Abnormality of hyoid bone,4
HP:0200046,Cat cry,4
HP:0010977,Abnormal phagocytosis,4
HP:0002659,Increased susceptibility to fractures,4
HP:0040231,Abnormal onset of bleeding,4
HP:0031273,Shock,4
HP:0012111,Abnormality of circulating glucocorticoid level,4
HP:0012316,Fibrous tissue neoplasm,4
HP:0002483,Bulbar signs,4
HP:0004360,Abnormality of acid-base homeostasis,4
HP:0025433,Decreased lecithin cholesterol acyl transferase level,4
HP:0004364,Abnormal circulating nitrogen compound concentration,4
HP:0003645,Prolonged partial thromboplastin time,4
HP:0000539,Abnormality of refraction,4
HP:0006729,Retroperitoneal chemodectomas,4
HP:0001562,Oligohydramnios,4
HP:0500017,Abnormal cardiac catheterization,4
HP:0032274,Increased CSF N-Acetylaspartic acid concentration,4
HP:0012415,Abnormal blood gas level,4
HP:0031178,Fixed head retroflexion,4
HP:0030829,Abnormal breath sound,4
HP:0000472,Long neck,4
HP:0001595,Abnormal hair morphology,4
HP:0008069,Neoplasm of the skin,4
HP:0004352,Abnormal circulating purine concentration,4
HP:0003575,Increased intracellular sodium,4
HP:0012535,Abnormal synaptic transmission,4
HP:0011019,Abnormality of chromosome condensation,4
HP:0040084,Abnormal circulating renin,4
HP:0032226,Abnormal sebaceous gland morphology,4
HP:0003144,Increased serum serotonin,4
HP:3000060,Abnormality of infraorbital artery,4
HP:0030272,Abnormal erythrocyte enzyme level,4
HP:0003524,Decreased methionine synthase activity,4
HP:0032016,Abnormal sputum,4
HP:0100763,Abnormality of the lymphatic system,4
HP:0012447,Abnormal myelination,4
HP:0001681,Angina pectoris,4
HP:0032331,Increased urinary 11-deoxytetrahydrocorticosterone level,4
HP:0025615,Abscess,4
HP:0032019,Muscle eosinophilia,4
HP:0010942,Echogenic intracardiac focus,4
HP:0003649,Abnormality of glycoside metabolism,4
HP:0030449,Therapeutic abortion,4
HP:0031416,Abnormal nasal mucus secretion,4
HP:0410075,Increased level of xylitol in CSF,4
HP:0100829,Galactorrhea,4
HP:0100247,Recurrent singultus,4
HP:0012143,Abnormal megakaryocyte morphology,4
HP:0002200,Pseudobulbar signs,4
HP:0004420,Arterial thrombosis,4
HP:0000359,Abnormality of the inner ear,4
HP:0001788,Premature rupture of membranes,4
HP:0000589,Coloboma,4
HP:0410020,Fish odor,4
HP:0032481,Abnormal pituitary glycoprotein hormone alpha subunit level,4
HP:0032367,Abnormal growth hormone level,4
HP:0025368,Abnormality of growth plate morphology,4
HP:0030271,"Reduced erythrocyte 2,3-diphosphoglycerate concentration",4
HP:0004379,Abnormality of alkaline phosphatase level,4
HP:0000356,Abnormality of the outer ear,4
HP:0410167,Abnormal morphology of the chest musculature,4
HP:0003560,Muscular dystrophy,4
HP:0410263,Brain imaging abnormality,4
HP:0011884,Abnormal umbilical stump bleeding,4
HP:0011429,Short fetal humerus length,4
HP:0000600,Abnormality of the pharynx,4
HP:0031109,Agalactia,4
HP:0031083,Abnormal response to human chorionic gonadotrophin stimulation test,4
HP:0012537,Food intolerance,4
HP:0500016,Abnormal cardiac MRI,4
HP:0000667,Phthisis bulbi,4
HP:0010943,Echogenic fetal bowel,4
HP:0012632,Abnormal intraocular pressure,4
HP:0031910,Abnormal cranial nerve physiology,4
HP:0002270,Abnormality of the autonomic nervous system,4
HP:0000632,Lacrimation abnormality,4
HP:0410168,Abnormality of the back musculature,4
HP:0011426,Fetal choroid plexus cysts,4
HP:0030347,Abnormal circulating androgen level,4
HP:0025520,Calcinosis cutis,4
HP:0004353,Abnormal circulating pyrimidine concentration,4
HP:0500019,Abnormal resting energy expenditure from metabolic cart test,4
HP:0003656,Decreased beta-glucocerebrosidase level,4
HP:0030893,Abnormal response to short acting pulmonary vasodilator,4
HP:0410192,Abnormal uridine diphosphate glucose-4-epimerase level,4
HP:0012735,Cough,4
HP:0030800,Abnormal visual accommodation,4
HP:0002094,Dyspnea,4
HP:0003199,Decreased muscle mass,4
HP:0011772,Abnormal thyroid morphology,4
HP:0012243,Abnormal reproductive system morphology,4
HP:0020058,Abnormal red blood cell count,4
HP:0032314,Abnormal areolar morphology,4
HP:0030838,Hip pain,4
HP:0002958,Immune dysregulation,4
HP:0031925,Rosette,4
HP:0002486,Myotonia,4
HP:0032530,Decreased succinic semialdehyde dehydrogenase level,4
HP:0031377,Abnormal cell proliferation,4
HP:0002641,Peripheral thrombosis,4
HP:0002916,Abnormality of chromosome segregation,4
HP:0010947,Abnormality of ductus venosus blood flow,4
HP:0002653,Bone pain,4
HP:0031087,Absent pubertal growth spurt,4
HP:0000970,Anhidrosis,4
HP:0012533,Allodynia,4
HP:0011902,Abnormal hemoglobin,4
HP:0012700,Abnormal large intestine physiology,4
HP:0011620,Abnormality of abdominal situs,4
HP:0005521,Disseminated intravascular coagulation,4
HP:0031965,Increased RBC distribution width,4
HP:0030687,Abnormal glucagon level,4
HP:0100242,Sarcoma,4
HP:0031409,Abnormal lymphocyte physiology,4
HP:0031099,Abnormal circulating inhibin level,4
HP:0031850,Abnormal hematocrit,4
HP:0004825,Increased hemoglobin oxygen affinity,4
HP:0000591,Abnormal sclera morphology,4
HP:0012145,Abnormality of multiple cell lineages in the bone marrow,4
HP:0010497,Sirenomelia,4
HP:0100774,Hyperostosis,4
HP:0025590,Abnormal extraocular muscle physiology,4
HP:0012099,Abnormality of circulating catecholamine level,4
HP:0410073,Increased level of ribose in CSF,4
HP:0002011,Morphological central nervous system abnormality,4
HP:0025181,Abdominal aseptic abscess,4
HP:0011006,Abnormal morphology of the musculature of the neck,4
HP:0030352,Abnormal serum insulin-like growth factor 1 level,4
HP:0010519,Increased fetal movement,4
HP:0003534,Reduced xanthine dehydrogenase level,4
HP:0031500,Abdominal mass,4
HP:0011876,Abnormal platelet volume,4
HP:0032485,Abnormal fecal osmolality,4
HP:0000927,Abnormality of skeletal maturation,4
HP:0000840,Adrenogenital syndrome,4
HP:0011915,Cardiovascular calcification,4
HP:0031840,Urine xenobiotic,4
HP:0012532,Chronic pain,4
HP:0500166,Abnormal circulating gastrin level,4
HP:0100568,Neoplasm of the endocrine system,4
HP:0002652,Skeletal dysplasia,4
HP:0025321,Copper accumulation in liver,4
HP:0003254,Abnormality of DNA repair,4
HP:0000476,Cystic hygroma,4
HP:0025546,Abnormal mean corpuscular hemoglobin concentration,4
HP:0100686,Enthesitis,4
HP:0031476,Abnormal buccal mucosa cell morphology,4
HP:0004936,Venous thrombosis,4
HP:0032571,Increased oocyte death,4
HP:0011043,Abnormality of circulating adrenocorticotropin level,4
HP:0031451,Lower extremity subcutanous fat hypertrophy,4
HP:0100767,Abnormal placenta morphology,4
HP:0020080,Erythrocyte inclusion bodies,4
HP:0410071,Increased level of ribitol in CSF,4
HP:0000504,Abnormality of vision,4
HP:0009115,Aplasia/hypoplasia involving the skeleton,4
HP:0031209,Decreased lipoprotein lipase level,4
HP:0011436,Abnormal maternal serum screening,4
HP:0032488,Abnormal fecal pH,4
HP:0020048,Reduced bone-marrow pro-B cell count,4
HP:0004358,Abnormality of superoxide metabolism,4
HP:0012253,Abnormal respiratory epithelium morphology,4
HP:0011730,Abnormal central sensory function,4
HP:0005986,Limitation of neck motion,4
HP:0410015,Abnormality of ganglion of peripheral nervous system,4
HP:0003559,Muscle hyperirritability,4
HP:0500183,Abnormal CSF carboxylic acid concentration,4
HP:0033013,Abnormal salivary cortisol level,4
HP:0100887,Abnormality of globe size,4
HP:0000364,Hearing abnormality,4
HP:0032504,Lhermitte's sign,4
HP:0003116,Abnormal echocardiogram,4
HP:0410175,Hyperketonemia,4
HP:0031590,Asthenopia,4
HP:0002929,Leydig cell insensitivity to gonadotropin,4
HP:0012338,Abnormal energy expenditure,4
HP:0010566,Hamartoma,4
HP:0002898,Embryonal neoplasm,4
HP:0004871,Perineal fistula,4
HP:0004404,Abnormal nipple morphology,4
HP:0008771,Aplasia/Hypoplasia of the ear,4
HP:0003119,Abnormal circulating lipid concentration,4
HP:0100806,Sepsis,4
HP:0031389,Abnormal MHC II surface expression,4
HP:0002861,Melanoma,4
HP:0011844,Abnormal appendicular skeleton morphology,4
HP:0002926,Abnormality of thyroid physiology,4
HP:0009131,Abnormality of the musculature of the thorax,4
HP:0031972,Presyncope,4
HP:0025145,Rigors,4
HP:0009127,Abnormality of the musculature of the limbs,4
HP:0003637,Reduced 4-Hydroxyphenylpyruvate dioxygenase level,4
HP:0003725,Firm muscles,4
HP:0500180,Abnormal circulating amino sulfonic acid concentration,4
HP:0031436,Increased pitch variability of speech,4
HP:0031052,Elevated vascular endothelial growth factor level,4
HP:0000971,Abnormal sweat gland morphology,4
HP:0006673,Reduced systolic function,4
HP:0032932,Increased circulating pancreatic triacylglycerol lipase level,4
HP:0500099,Hair xenobiotic,4
HP:0031903,Abnormal circulating selenium concentration,4
HP:0030948,Elevated gamma-glutamyltransferase level,4
HP:0002781,Upper airway obstruction,4
HP:0011888,Bleeding requiring red cell transfusion,4
HP:0100530,Abnormal calcium-phosphate regulating hormone level,4
HP:0010969,Abnormality of glycolipid metabolism,4
HP:0011733,Abnormality of adrenal physiology,4
HP:0032147,Erythromelalgia,4
HP:0031607,Pelvic organ prolapse,4
HP:0003570,Molybdenum cofactor deficiency,4
HP:0011442,Abnormal central motor function,4
HP:0032148,Episodic pain,4
HP:0031901,Elevated total serum tryptase,4
HP:0009125,Lipodystrophy,4
HP:0045081,Abnormality of body mass index,4
HP:0003568,Decreased glucosephosphate isomerase level,4
HP:0001298,Encephalopathy,4
HP:0030919,Low 5-minute APGAR score,4
HP:0040085,Abnormal circulating aldosterone,4
HP:0011970,Cerebral amyloid angiopathy,4
HP:0032533,Elevated circulating acetone,4
HP:0031285,Abnormal perifollicular morphology,4
HP:0012772,Abnormal upper to lower segment ratio,4
HP:0004329,Abnormal posterior eye segment morphology,4
HP:0012759,Neurodevelopmental abnormality,4
HP:0012288,Neoplasm of head and neck,4
HP:0012718,Morphological abnormality of the gastrointestinal tract,4
HP:0012546,Skewed maternal X inactivation,4
HP:0011409,Abnormality of placental membranes,4
HP:0025443,Abnormal cardiac atrial physiology,4
HP:0011732,Abnormality of adrenal morphology,4
HP:0000809,Urinary tract atresia,4
HP:0100559,Lower limb asymmetry,4
HP:0002981,Abnormality of the calf,4
HP:0030878,Abnormality on pulmonary function testing,4
HP:0025155,Abnormality of hepatobiliary system physiology,4
HP:0000841,Hyperactive renin-angiotensin system,4
HP:0012517,Reduced catalase level,4
HP:0000496,Abnormality of eye movement,4
HP:0012129,Abnormality of bone marrow stromal cells,4
HP:0003533,Reduced acetaldehyde dehydrogenase level,4
HP:0000771,Gynecomastia,4
HP:0000501,Glaucoma,4
HP:0030060,Nervous tissue neoplasm,4
HP:0003565,Elevated erythrocyte sedimentation rate,4
HP:0031501,Pelvic mass,4
HP:0011767,Abnormality of the parathyroid physiology,4
HP:0032933,Airway hyperresponsiveness,4
HP:0031853,Isomerism,4
HP:0005368,Abnormality of humoral immunity,4
HP:0002835,Aspiration,4
HP:0032252,Granuloma,4
HP:0000759,Abnormal peripheral nervous system morphology,4
HP:0001558,Decreased fetal movement,4
HP:0030872,Abnormal cardiac ventricular function,4
HP:0410021,Musty odor,4
HP:0020155,Abnormal oocyte morphology,4
HP:0030163,Abnormal vascular physiology,4
HP:0030951,Skeletal muscle fibrosis,4
HP:0032537,Delayed fracture healing,4
HP:0010472,Abnormal circulating porphyrin concentration,4
HP:0003330,Abnormal bone structure,4
HP:0000775,Abnormality of the diaphragm,4
HP:0030943,Vulvodynia,4
HP:0005546,Increased red cell osmotic resistance,4
HP:3000037,Abnormality of neck blood vessel,4
HP:0003457,EMG abnormality,4
HP:0032484,Elevated fecal sodium,4
HP:0030268,Hyperplastic callus formation,4
HP:0003142,Excessive purine production,4
HP:0000370,Abnormality of the middle ear,4
HP:0031080,Abnormal response to glucagon stimulation test,4
HP:0004354,Abnormal circulating carboxylic acid concentration,4
HP:0000080,Abnormality of reproductive system physiology,4
HP:0005934,Imperfect vocal cord adduction,4
HP:0007451,Ipsilateral lack of facial sweating,4
HP:0032330,Increased urinary 11-deoxycorticosterone level,4
HP:0100560,Upper limb asymmetry,4
HP:0001551,Abnormal umbilicus morphology,4
HP:0008047,Abnormality of the vasculature of the eye,4
HP:0030138,Excessive bleeding from superficial cuts,4
HP:0011869,Abnormal platelet function,4
HP:0000508,Ptosis,4
HP:0003216,Generalized amyloid deposition,4
HP:0009121,Abnormal axial skeleton morphology,4
HP:0010936,Abnormality of the lower urinary tract,4
HP:0003349,Low cholesterol esterification rate,4
HP:0002093,Respiratory insufficiency,4
HP:0007378,Neoplasm of the gastrointestinal tract,4
HP:0002832,Calcific stippling,4
HP:0005502,Increased red cell osmotic fragility,4
HP:0002585,Abnormality of the peritoneum,4
HP:0008226,Androgen insufficiency,4
HP:0032510,Tendon pain,4
HP:0003258,Glyoxalase deficiency,4
HP:0100016,Abnormality of mesentery morphology,4
HP:0031187,Abnormality of circulating pregnenolone level,4
HP:0030684,Abnormal adiponectin level,4
HP:0045040,Abnormal lactate dehydrogenase level,4
HP:0031602,Abnormal mucociliary clearance,4
HP:0010987,Abnormal cellular immune system morphology,4
HP:0100508,Abnormality of vitamin metabolism,4
HP:0003394,Muscle spasm,4
HP:0003538,Increased serum iduronate sulfatase level,4
HP:0012188,Hyperemesis gravidarum,4
HP:0410172,Blood xenobiotic,4
HP:0001541,Ascites,4
HP:0011458,Abdominal symptom,4
HP:0000816,Abnormality of Krebs cycle metabolism,4
HP:0032458,Narrowing of medullary canal,4
HP:0000708,Behavioral abnormality,4
HP:0008187,Absence of secondary sex characteristics,4
HP:0030366,Delivery by Odon device,4
HP:0031520,Groin pain,4
HP:0100724,Hypercoagulability,4
HP:0040142,Reduced 5-oxoprolinase level,4
HP:0007686,Abnormal pupillary function,4
HP:0030834,Shoulder pain,4
HP:0030369,Induced vaginal delivery,4
HP:0003761,Calcinosis,4
HP:0100603,Toxemia of pregnancy,4
HP:0001658,Myocardial infarction,4
HP:0001760,Abnormal foot morphology,4
HP:0031871,Abnormal Langerhans cell morphology,4
HP:0003111,Abnormal blood ion concentration,4
HP:0003201,Rhabdomyolysis,4
HP:0025401,Staring gaze,4
HP:0020173,Reduced drug efficacy,4
HP:0010866,Abdominal wall defect,4
HP:0031059,Impaired ability to bathe oneself,4
HP:0004915,Impairment of galactose metabolism,4
HP:0012432,Chronic fatigue,4
HP:0031818,Abnormal waist to hip ratio,4
HP:0002763,Abnormal cartilage morphology,4
HP:0031551,Reduced cell surface marker level,4
HP:0003358,Elevated intracellular cystine,4
HP:0025384,Diet-resistant subcutaneous adipose tissue,4
HP:0100001,Malignant mesothelioma,4
HP:0001281,Tetany,4
HP:0100326,Immunologic hypersensitivity,4
HP:0001615,Hoarse cry,4
HP:0032120,Abnormal peripheral nervous system physiology,4
HP:0030365,Vaginal birth after Caesarian,4
HP:0001469,Abnormal morphology of the pelvis musculature,4
HP:0012233,Intramuscular hematoma,4
HP:0032459,Abnormal phosphoribosylpyrophosphate synthetase level,4
HP:0001392,Abnormality of the liver,4
