HPO_ID,Description,Depth,Remarks
HP:0001438,Abdomen abnormality,3,Synonym
HP:0001438,Abnormality of abdomen morphology,3,Synonym
HP:0001438,Abnormality of abdomen structure,3,Synonym
HP:0001438,Abnormality of the abdomen,3,Synonym
HP:0001609,Hoarseness,3,Synonym
HP:0030680,Cardiovascular malformations,3,Synonym
HP:0041117,bone lower limb segment,3,Synonym
HP:0001872,Blood platelet disease,3,Synonym
HP:0001872,Platelet abnormalities,3,Synonym
HP:0001872,Thrombasthenia,3,Synonym
HP:0025143,Chills,3,Synonym
HP:0025116,Foetal distress,3,Synonym
HP:0030753,Intrauterine foetal demise of one twin after midgestation,3,Synonym
HP:0001609,Husky voice,3,Synonym
HP:0100790,Hernias,3,Synonym
HP:0041118,bone upper limb segment,3,Synonym
HP:0002814,Abnormality of the lower limb,3,Synonym
HP:0012638,Abnormality of nervous system physiology,3,Synonym
HP:0030753,Single-twin demise,3,Synonym
HP:0012378,Fatigue,3,Synonym
HP:0012378,Malaise,3,Synonym
HP:0012378,Tired,3,Synonym
HP:0012378,Tiredness,3,Synonym
HP:0010948,Abnormality of the fetal circulation system,3,Synonym
HP:0010948,Abnormality of the foetal cardiovascular system,3,Synonym
HP:0012531,Pain,3,Synonym
HP:0032479,Preimplantation embryonic lethality,3,Synonym
HP:0001877,Abnormality of erythrocytes,3,Synonym
HP:0001877,Abnormality of erythroid lineage cell,3,Synonym
HP:0001557,Abnormal intrauterine movements,3,Synonym
HP:0000079,Urinary tract abnormalities,3,Synonym
HP:0000079,Urinary tract abnormality,3,Synonym
HP:0000079,Urinary tract anomalies,3,Synonym
HP:0002814,Abnormality of the leg,3,Synonym
HP:0002814,Lower limb deformities,3,Synonym
HP:0000847,Abnormality of the renin-aldosterone axis,3,Synonym
HP:0001978,Extramedullary erythropoiesis,3,Synonym
HP:0004298,Abnormality of the abdominal wall,3,Synonym
HP:3000050,Abnormality of hard tissues of teeth,3,Synonym
HP:3000050,Abnormality of tooth hard tissue,3,Synonym
HP:0011025,Abnormality of cardiovascular system physiology,3,Synonym
HP:0002597,Abnormality of blood vessels,3,Synonym
HP:0002597,Abnormality of the vasculature,3,Synonym
HP:0002597,Vascular abnormalities,3,Synonym
HP:0001560,Abnormal amniotic fluid,3,Synonym
HP:0010932,Abnormal nucleoside levels,3,Synonym
HP:0100555,Uneven or disproportionate growth of one body part compared to another,3,Synonym
HP:0031170,Female foetal virilization,3,Synonym
HP:0032207,Abnormal CSF metabolite concentration,3,Synonym
HP:0003117,Abnormality of circulating hormone level,3,Synonym
HP:0030853,Heterotaxia,3,Synonym
HP:0002686,Maternal health problem,3,Synonym
HP:0001620,High pitched voice,3,Synonym
HP:0001620,High-pitched voice,3,Synonym
HP:0002012,Gastrointestinal tract defects,3,Synonym
HP:0002795,Respiratory problem,3,Synonym
HP:0004298,Abnormality of external features of the abdomen,3,Synonym
HP:0002795,Functional respiratory abnormality,3,Synonym
HP:0000002,Abnormality of body height,3,Synonym
HP:0011804,Abnormality of muscle physiology,3,Synonym
HP:0011804,Issue with muscle function,3,Synonym
HP:0004323,Abnormality of body weight,3,Synonym
HP:0004323,Abnormality of habitus,3,Synonym
HP:0040068,Abnormality of limb bone,3,Synonym
HP:0100658,Bacterial infection of skin,3,Synonym
HP:0100658,Skin infection,3,Synonym
HP:0100658,Skin infections,3,Synonym
HP:0001977,Abnormal blood clot,3,Synonym
HP:0001977,Abnormal blood clotting,3,Synonym
HP:0000951,Abnormality of the skin,3,Synonym
HP:0000951,dermatopathy,3,Synonym
HP:0000951,dermopathy,3,Synonym
HP:0000951,Skin abnormality,3,Synonym
HP:0000834,Adrenal abnormalities,3,Synonym
HP:0000834,Adrenal gland disease,3,Synonym
HP:0031110,Twin to twin transfusion syndrome,3,Synonym
HP:0002795,Abnormal respiration,3,Synonym
HP:0002012,Abnormality of the abdominal organs,3,Synonym
HP:0000234,Abnormal head,3,Synonym
HP:0005561,Anomaly of the bone marrow cells,3,Synonym
HP:0011805,Abnormally shaped muscle,3,Synonym
HP:0011805,Issue with muscle structure,3,Synonym
HP:0100699,Scar tissue,3,Synonym
HP:0100699,Scarring,3,Synonym
HP:0001622,Premature birth,3,Synonym
HP:0001622,Premature delivery,3,Synonym
HP:0001622,Premature delivery of affected infants,3,Synonym
HP:0001622,Preterm delivery,3,Synonym
HP:0001622,Shortened gestation time,3,Synonym
HP:0001621,Hypophonia,3,Synonym
HP:0001621,Soft voice,3,Synonym
HP:0001621,Weak voice,3,Synonym
HP:0012639,Abnormal nervous system morphology,3,Synonym
HP:0012639,Abnormal shape of nervous system,3,Synonym
HP:0012639,Abnormality of nervous system morphology,3,Synonym
HP:0000828,Parathyroid disease,3,Synonym
HP:0011034,Amyloid disease,3,Synonym
HP:0011805,Abnormality of muscle morphology,3,Synonym
HP:0011017,Abnormality of cell physiology,3,Synonym
HP:0011805,Abnormal muscle morphology,3,Synonym
HP:0100685,Abnormality of Sharpey fibers,3,Synonym
HP:0031352,Tightness in chest,3,Synonym
HP:0000464,Abnormality of the neck,3,Synonym
HP:0000464,Anomaly of the neck,3,Synonym
HP:0000464,Deformity of the neck,3,Synonym
HP:0000464,Malformation of the neck,3,Synonym
HP:0001686,Aphonia,3,Synonym
HP:0001928,Abnormal blood coagulation studies,3,Synonym
HP:0001928,Blood coagulation disorder,3,Synonym
HP:0001928,Coagulation abnormalities,3,Synonym
HP:0001928,Coagulation abnormality,3,Synonym
HP:0001928,Haemorrhagic disorders,3,Synonym
HP:0041079,Decreased adipose tissue percentage,3,Synonym
HP:0011024,Abnormality of the gastrointestinal tract,3,Synonym
HP:0011024,Abnormality of the GI tract,3,Synonym
HP:0011024,Digestive system disease,3,Synonym
HP:0011024,Gastrointestinal disease,3,Synonym
HP:0100685,Abnormal Sharpey fibre morphology,3,Synonym
HP:0100685,Enthesis abnormality,3,Synonym
HP:0005561,Bone marrow disease,3,Synonym
HP:0011425,Foetal ultrasound soft marker,3,Synonym
HP:0000234,Abnormality of the head,3,Synonym
HP:0012372,Abnormally shaped eye,3,Synonym
HP:0002817,Abnormality of the arm,3,Synonym
HP:0002817,Abnormality of the upper limb,3,Synonym
HP:0008373,Puberty and gonadal disorders,3,Synonym
HP:0001892,Bleeding diathesis,3,Synonym
HP:0001892,Bleeding tendency,3,Synonym
HP:0001892,Hemorrhagic diathesis,3,Synonym
HP:0025144,Shivering,3,Synonym
HP:0025144,Shuddering,3,Synonym
HP:0012029,Abnormality of urine hormone level,3,Synonym
HP:0012373,Abnormal eye physiology,3,Synonym
HP:0001787,Abnormal delivery,3,Synonym
HP:0001787,Delivery complication,3,Synonym
HP:0032483,Abnormal faecal test result,3,Synonym
HP:0410008,Abnormality of the peripheral nervous system,3,Synonym
HP:0011842,Abnormally shaped skeletal,3,Synonym
HP:0001194,Abnormalities of placenta or umbilical cord,3,Synonym
HP:0012372,Abnormality of the globe,3,Synonym
HP:0000078,Abnormality of the reproductive system,3,Synonym
HP:0012372,Abnormal eye structure,3,Synonym
HP:0009124,Abnormality of fat tissue,3,Synonym
HP:0000234,Head abnormality,3,Synonym
HP:0011138,Abnormal skin appendage,3,Synonym
HP:0001510,Delayed growth,3,Synonym
HP:0001510,Growth deficiency,3,Synonym
HP:0001510,Growth delay,3,Synonym
HP:0001510,Growth failure,3,Synonym
HP:0001510,Growth retardation,3,Synonym
HP:0001510,Poor growth,3,Synonym
HP:0001510,Retarded growth,3,Synonym
HP:0001510,Very poor growth,3,Synonym
HP:0500001,BO,3,Synonym
HP:0500001,Body odor,3,Synonym
HP:0500001,Body odour,3,Synonym
HP:0500001,Bromhidrosis,3,Synonym
HP:0500001,Bromidrosis,3,Synonym
HP:0500001,Osmidrosis,3,Synonym
HP:0009124,Abnormality of adipose tissue,3,Synonym
HP:0009124,Abnormality of fatty tissue,3,Synonym
HP:0000078,Genital abnormalities,3,Synonym
HP:0001877,Abnormality of red blood cells,3,Synonym
HP:0000078,Genital anomalies,3,Synonym
HP:0032243,Abnormal tissue metabolite concentration,3,Definition
HP:0025116,Fetal distress,3,Definition
HP:0011792,Neoplasm by histology,3,Definition
HP:0025276,Abnormality of skin adnexa physiology,3,Definition
HP:0045026,Abnormality of the mediastinum,3,Definition
HP:0100790,Hernia,3,Definition
HP:0000079,Abnormality of the urinary system,3,Definition
HP:0001557,Prenatal movement abnormality,3,Definition
HP:0041118,Fractured upper limb segment,3,Definition
HP:0025406,Asthenia,3,Definition
HP:0031169,Postterm pregnancy,3,Definition
HP:0001877,Abnormal erythrocyte morphology,3,Definition
HP:0010948,Abnormality of the fetal cardiovascular system,3,Definition
HP:0040166,Abnormality of the periosteum,3,Definition
HP:0011843,Abnormality of skeletal physiology,3,Definition
HP:0012252,Abnormal respiratory system morphology,3,Definition
HP:0033012,Abnormal salivary metabolite concentration,3,Definition
HP:0031704,Abnormal ear physiology,3,Definition
HP:0012638,Abnormal nervous system physiology,3,Definition
HP:0005561,Abnormality of bone marrow cell morphology,3,Definition
HP:0032479,Preimplantation lethality,3,Definition
HP:0020047,Abnormal myeloid cell morphology,3,Definition
HP:0032251,Abnormal immune system morphology,3,Definition
HP:0100658,Cellulitis,3,Definition
HP:0011804,Abnormal muscle physiology,3,Definition
HP:0031094,Abnormal breast physiology,3,Definition
HP:0012680,Abnormality of the pineal gland,3,Definition
HP:0031071,Abnormal endocrine morphology,3,Definition
HP:0020054,Abnormal erythrocyte physiology,3,Definition
HP:0025521,Increased body fat percentage,3,Definition
HP:0032245,Abnormal metabolism,3,Definition
HP:0001438,Abnormal abdomen morphology,3,Definition
HP:0031058,Impairment of activities of daily living,3,Definition
HP:0030753,Intrauterine fetal demise of one twin after midgestation,3,Definition
HP:0030680,Abnormality of cardiovascular system morphology,3,Definition
HP:0410014,Abnormality of ganglion,3,Definition
HP:0001872,Abnormal thrombocyte morphology,3,Definition
HP:0041117,Fractured lower limb segment,3,Definition
HP:0010766,Ectopic calcification,3,Definition
HP:0031703,Abnormal ear morphology,3,Definition
HP:0011793,Neoplasm by anatomical site,3,Definition
HP:0012337,Abnormal homeostasis,3,Definition
HP:0032180,Abnormal circulating metabolite concentration,3,Definition
HP:0000847,Abnormality of renin-angiotensin system,3,Definition
HP:0001977,Abnormal thrombosis,3,Definition
HP:0010300,Abnormally low-pitched voice,3,Definition
HP:0031434,Abnormal speech prosody,3,Definition
HP:0100536,Abnormality of the fascia,3,Definition
HP:0033047,Body ache,3,Definition
HP:0010978,Abnormality of immune system physiology,3,Definition
HP:0011034,Amyloidosis,3,Definition
HP:0000828,Abnormality of the parathyroid gland,3,Definition
HP:0011017,Abnormal cellular physiology,3,Definition
HP:0011805,Abnormal skeletal muscle morphology,3,Definition
HP:0100685,Abnormal Sharpey fiber morphology,3,Definition
HP:0012379,Abnormal enzyme/coenzyme activity,3,Definition
HP:0041079,Decreased body fat percentage,3,Definition
HP:0009088,Speech articulation difficulties,3,Definition
HP:0001928,Abnormality of coagulation,3,Definition
HP:0031863,Bloodstream infectious agent,3,Definition
HP:0001686,Loss of voice,3,Definition
HP:0031352,Chest tightness,3,Definition
HP:0025461,Abnormal cell morphology,3,Definition
HP:0031838,Presence of xenobiotic,3,Definition
HP:0011842,Abnormality of skeletal morphology,3,Definition
HP:0031550,Abnormal flow cytometry test result,3,Definition
HP:0000078,Genital abnormality,3,Synonym
HP:0009025,Increased connective tissue,3,Definition
HP:0032483,Abnormal fecal test result,3,Definition
HP:0100589,Urogenital fistula,3,Definition
HP:0012029,Abnormal urine hormone level,3,Definition
HP:0001892,Abnormal bleeding,3,Definition
HP:0001218,Autoamputation,3,Definition
HP:0025429,Abnormal cry,3,Definition
HP:0041090,Avulsion fractured pelvic region of trunk,3,Definition
HP:0011425,Fetal ultrasound soft marker,3,Definition
HP:0032269,Lemon sign,3,Definition
HP:0012372,Abnormal eye morphology,3,Definition
HP:0009124,Abnormal adipose tissue morphology,3,Definition
HP:0020169,Abnormal drug response,3,Definition
HP:0031217,Hot flashes,3,Definition
HP:0100271,Hyponasal speech,3,Definition
HP:0031093,Abnormal breast morphology,3,Definition
HP:0011138,Abnormality of skin adnexa morphology,3,Definition
HP:0031072,Abnormal endocrine physiology,3,Definition
HP:0500015,Abnormal cardiac test,3,Definition
HP:0025033,Abnormality of digestive system morphology,3,Definition
HP:0030166,Night sweats,3,Definition
HP:0001611,Nasal speech,3,Definition
HP:0025021,Abnormal erythrocyte sedimentation rate,3,Definition
HP:0001946,Ketosis,3,Definition
HP:0000820,Abnormality of the thyroid gland,3,Definition
HP:0030917,Low APGAR score,3,Definition
HP:0000820,Thyroid disease,3,Synonym
HP:0000078,Genital defects,3,Synonym
HP:0100758,Death of body tissue due to lack of blood flow or infection,3,Synonym
HP:0030166,Nocturnal hyperhidrosis,3,Synonym
HP:0001611,Hypernasal speech,3,Synonym
HP:0001611,Hypernasal voice,3,Synonym
HP:0001611,Nasal voice,3,Synonym
HP:0025021,Abnormal ESR,3,Synonym
HP:0025021,Abnormal Westergren sedimentation rate,3,Synonym
HP:0001946,High levels of ketone bodies,3,Synonym
HP:0001946,Hyperketosis,3,Synonym
HP:0100758,Gangrene,3,Definition
HP:0000864,Abnormality of the hypothalamus-pituitary axis,3,Definition
HP:0000820,Thyroid abnormality,3,Synonym
HP:0000078,Abnormality of the genital system,3,Definition
HP:0100555,Asymmetric growth,3,Definition
HP:0031462,Musculotendinous retraction,3,Definition
HP:0001560,Abnormality of the amniotic fluid,3,Definition
HP:0031801,Vocal cord dysfunction,3,Definition
HP:0025032,Abnormality of digestive system physiology,3,Definition
HP:0011025,Abnormal cardiovascular system physiology,3,Definition
HP:0000873,Diabetes insipidus,3,Definition
HP:3000050,Abnormality of odontoid tissue,3,Definition
HP:0010932,Abnormal circulating nucleobase concentration,3,Definition
HP:0003117,Abnormal circulating hormone level,3,Definition
HP:0030853,Heterotaxy,3,Definition
HP:0040172,Abnormality of occipitofrontalis muscle,3,Definition
HP:0002686,Prenatal maternal abnormality,3,Definition
HP:0031170,Female fetal virilization,3,Definition
HP:0000834,Abnormality of the adrenal glands,3,Definition
HP:0031110,Twin-to-twin transfusion,3,Definition
HP:0001978,Extramedullary hematopoiesis,3,Definition
HP:0032207,Abnormal cerebrospinal fluid metabolite concentration,3,Definition
HP:0003524,Methionine synthase activity decreased,4,Synonym
HP:0003524,Methionine synthase deficiency,4,Synonym
HP:0003524,Reduced methionine synthase activity,4,Synonym
HP:0032016,Abnormal sputum morphology,4,Synonym
HP:0100763,Lymphatic disease,4,Synonym
HP:0032019,Eosinophilic infiltration of skeletal muscle,4,Synonym
HP:0100247,Hiccup,4,Synonym
HP:0100829,Galactorrhoea,4,Synonym
HP:0100829,Spontaneous milk flow from breast,4,Synonym
HP:0100247,Hiccups,4,Synonym
HP:0100247,Recurrent hiccough,4,Synonym
HP:0100247,Recurrent hiccup,4,Synonym
HP:0100247,Recurrent synchronous diaphragmatic flutter,4,Synonym
HP:0003524,Decreased activity of methionine synthase,4,Synonym
HP:0410075,Increased level of xylitol in cerebrospinal fluid,4,Synonym
HP:0003144,Increased serum serotonin,4,Synonym
HP:0003575,High intracellular Na,4,Synonym
HP:0040084,Abnormal circulating renin,4,Synonym
HP:0003645,Partial thromboplastin time prolonged,4,Synonym
HP:0003645,Prolonged activated partial thromboplastin time,4,Synonym
HP:0003645,Prolonged PTT,4,Synonym
HP:0001562,Low levels of amniotic fluid,4,Synonym
HP:0001562,Maternal oligohydramnios,4,Synonym
HP:0500017,Abnormal cardiac cath,4,Synonym
HP:0032274,Increased N-acetyl aspartate levels in CSF,4,Synonym
HP:0032274,Increased N-acetyl aspartic acid levels in CSF,4,Synonym
HP:0032274,Increased N-acetyl-L-aspartic acid levels in CSF,4,Synonym
HP:0032274,Increased N-acetylaspartate levels in CSF,4,Synonym
HP:0032274,Increased NAA levels in CSF,4,Synonym
HP:0012415,Abnormal blood gas level,4,Synonym
HP:0000472,Cervical elongation,4,Synonym
HP:0040084,Abnormal plasma renin,4,Synonym
HP:0000472,Elongated neck,4,Synonym
HP:0000472,Long neck,4,Synonym
HP:0001595,Abnormality of the hair,4,Synonym
HP:0001595,Abnormality of the hair shaft,4,Synonym
HP:0001595,Hair abnormality,4,Synonym
HP:0008069,Dermatological tumors,4,Synonym
HP:0008069,Neoplasia of the skin,4,Synonym
HP:0008069,Skin cancer,4,Synonym
HP:0008069,Skin cancer (non-melanoma),4,Synonym
HP:0008069,Skin tumors,4,Synonym
HP:0008069,Tumor of the skin,4,Synonym
HP:0004352,Abnormal circulating purine level,4,Synonym
HP:0003575,Increased intracellular Na+ levels,4,Synonym
HP:0012535,Abnormality of neurotransmitter metabolism,4,Synonym
HP:0000472,Increased cervical length,4,Synonym
HP:0000472,Increased length of neck,4,Synonym
HP:0004379,Alkaline phosphatase abnormal,4,Synonym
HP:0002200,Pseudobulbar symptoms,4,Synonym
HP:0500016,Abnormal heart MRI,4,Synonym
HP:0010943,Echogenic bowel,4,Synonym
HP:0010943,Echogenic foetal bowel,4,Synonym
HP:0012632,Abnormal eye pressure,4,Synonym
HP:0012632,Abnormal intraocular pressure,4,Synonym
HP:0000632,Abnormality of tear production,4,Synonym
HP:0410168,Muscle issues in the back,4,Synonym
HP:0011426,Foetal choroid plexus cysts,4,Synonym
HP:0025520,Cutaneous calcification,4,Synonym
HP:0500019,Abnormal metabolic cart test,4,Synonym
HP:0003656,Decreased lysosomal acid glucosylceramidase activity,4,Synonym
HP:0410192,Abnormal UDP-glucose 4-epimerase level,4,Synonym
HP:0012735,Cough,4,Synonym
HP:0500016,Abnormal cardiac magnetic resonance imaging,4,Synonym
HP:0012735,Coughing,4,Synonym
HP:0002094,Breathing difficulty,4,Synonym
HP:0002094,Difficult to breathe,4,Synonym
HP:0002094,Dyspnoea,4,Synonym
HP:0002094,Trouble breathing,4,Synonym
HP:0003199,Decreased muscle mass,4,Synonym
HP:0011772,Abnormal shape of thyroid gland,4,Synonym
HP:0011772,Abnormality of thyroid morphology,4,Synonym
HP:0012243,Abnormal genital system morphology,4,Synonym
HP:0020058,Abnormal RBC count,4,Synonym
HP:0030838,Hip pain,4,Synonym
HP:0002958,Immune dysregulation,4,Synonym
HP:0002958,Unregulated immune response,4,Synonym
HP:0002486,Delayed relaxation of muscle fibers after contraction,4,Synonym
HP:0002094,Abnormal breathing,4,Synonym
HP:0012143,Abnormality of cells of the megakaryocyte lineage,4,Synonym
HP:0012537,Non-allergic food hypersensitivity,4,Synonym
HP:0031083,Abnormal response to hCG stimulation test,4,Synonym
HP:0004420,Blood clot in artery,4,Synonym
HP:0000359,Abnormality of the inner ear,4,Synonym
HP:0000359,Inner ear abnormality,4,Synonym
HP:0000589,Notched pupil,4,Synonym
HP:0000589,Ocular coloboma,4,Synonym
HP:0000589,Ocular colobomas,4,Synonym
HP:0410020,Fish odour,4,Synonym
HP:0410020,Fishy body odor,4,Synonym
HP:0410020,Fishy odor,4,Synonym
HP:0032367,Abnormal somatotropin level,4,Synonym
HP:0004379,Abnormality of alkaline phosphatase activity,4,Synonym
HP:0004379,Abnormality of ALP level,4,Synonym
HP:0003645,Delayed thromboplastin generation,4,Synonym
HP:0012537,Food intolerance,4,Synonym
HP:0000356,Abnormal pinnae,4,Synonym
HP:0000356,Abnormality of the external ear,4,Synonym
HP:0000356,Abnormality of the outer ear,4,Synonym
HP:0000356,Ear anomalies,4,Synonym
HP:0000356,External ear malformations,4,Synonym
HP:0000356,Malformed pinnae,4,Synonym
HP:0000356,Outer ear abnormality,4,Synonym
HP:0410167,Abnormality of the chest musculature,4,Synonym
HP:0410167,Muscle issues in the chest,4,Synonym
HP:0003560,Muscle biopsy shows dystrophic changes,4,Synonym
HP:0410263,Abnormal brain imaging,4,Synonym
HP:0011429,Short fetal long bone in upper arm length,4,Synonym
HP:0011429,Short foetal humerus length,4,Synonym
HP:0031109,Lactation incapacity,4,Synonym
HP:0000356,Abnormality of the auricle,4,Synonym
HP:0003645,Abnormal partial thromboplastin time,4,Synonym
HP:0001627,Congenital heart defects,4,Synonym
HP:0002659,Increased tendency to fractures,4,Synonym
HP:0031218,SIADH,4,Synonym
HP:0031218,Syndrome of inappropriate antidiuretic hormone secretion,4,Synonym
HP:0000271,Abnormal face,4,Synonym
HP:0000271,Abnormality of the countenance,4,Synonym
HP:0000271,Abnormality of the face,4,Synonym
HP:0000271,Abnormality of the physiognomy,4,Synonym
HP:0000271,Abnormality of the visage,4,Synonym
HP:0000271,Anomaly of face,4,Synonym
HP:0000271,Anomaly of the face,4,Synonym
HP:0000271,Disorder of face,4,Synonym
HP:0000271,Disorder of the face,4,Synonym
HP:0031218,Inappropriate ADH secretion,4,Synonym
HP:0000271,Facial abnormality,4,Synonym
HP:0012113,Abnormality of creatine metabolism,4,Synonym
HP:0012113,Creatine metabolism abnormal,4,Synonym
HP:0011122,Abnormality of skin physiology,4,Synonym
HP:0003326,Muscle ache,4,Synonym
HP:0003326,Muscle pain,4,Synonym
HP:0003326,Myalgias,4,Synonym
HP:0011428,Short fetal thigh bone length,4,Synonym
HP:0011428,Short foetal femur length,4,Synonym
HP:0500018,Abnormal cardiac exercise test,4,Synonym
HP:0500018,Abnormal exercise test,4,Synonym
HP:0500018,Abnormal treadmill test,4,Synonym
HP:0000271,Facial anomaly,4,Synonym
HP:0002960,Autoimmunity,4,Synonym
HP:0002960,Autoimmune disorder,4,Synonym
HP:0002960,Autoimmune disease,4,Synonym
HP:0004302,Functional motor problems,4,Synonym
HP:0000098,Accelerated linear growth,4,Synonym
HP:0000098,Increased body height,4,Synonym
HP:0000098,Increased linear growth,4,Synonym
HP:0000098,Tall stature,4,Synonym
HP:0001324,Muscle weakness,4,Synonym
HP:0001324,Muscular weakness,4,Synonym
HP:0011410,Caesarian section,4,Synonym
HP:0011133,Increased sensitivity to ionising radiation,4,Synonym
HP:0002641,Peripheral blood clot,4,Synonym
HP:0008897,Growth delay as children,4,Synonym
HP:0008897,Growth retardation as children,4,Synonym
HP:0008897,Postnatal growth deceleration,4,Synonym
HP:0008897,Postnatal growth deficiency,4,Synonym
HP:0008897,Postnatal growth failure,4,Synonym
HP:0001155,Abnormal hands,4,Synonym
HP:0001155,Abnormality of the hand,4,Synonym
HP:0001155,Hand anomalies,4,Synonym
HP:0001155,Hand deformities,4,Synonym
HP:0010876,Abnormality of circulating protein level,4,Synonym
HP:0010876,Blood protein disease,4,Synonym
HP:0010876,Serum protein abnormality,4,Synonym
HP:0500012,Abnormality of GnRH level,4,Synonym
HP:0100249,Skeletal muscle calcinosis,4,Synonym
HP:0002960,Autoimmune condition,4,Synonym
HP:0003655,Deficient N-acetylglucosaminyltransferase II,4,Synonym
HP:0410169,Abnormality of the shoulder musculature,4,Synonym
HP:0410169,Muscle issues in the shoulder,4,Synonym
HP:0004377,Blood tumor,4,Synonym
HP:0001627,Cardiac abnormality,4,Synonym
HP:0001627,Cardiac anomalies,4,Synonym
HP:0001627,Cardiac anomaly,4,Synonym
HP:0001627,Congenital heart defect,4,Synonym
HP:0001627,Heart defect,4,Synonym
HP:0020170,Elevated blood drug concentration,4,Synonym
HP:0020170,Elevated plasma drug concentration,4,Synonym
HP:0020170,Elevated serum drug concentrations,4,Synonym
HP:0020170,Increased plasma drug concentration,4,Synonym
HP:0020170,Increased serum drug concentration,4,Synonym
HP:0004324,Increased body weight,4,Synonym
HP:0004324,Weight gain,4,Synonym
HP:0011427,Enlarged foetal cisterna magna,4,Synonym
HP:0011431,Fetal little finger curvature,4,Synonym
HP:0011431,Fetal pinkie finger curvature,4,Synonym
HP:0011431,Fetal pinky finger curvature,4,Synonym
HP:0011431,Foetal fifth finger clinodactyly,4,Synonym
HP:0200046,Cat cry,4,Synonym
HP:0200046,cat-like cry,4,Synonym
HP:0200046,cri de chat-associated cry,4,Synonym
HP:0002659,Abnormal susceptibility to fractures,4,Synonym
HP:0002659,Bone fragility,4,Synonym
HP:0002659,Frequent broken bones,4,Synonym
HP:0002659,Increased bone fragility,4,Synonym
HP:0002659,Increased susceptibility to fractures,4,Synonym
HP:0001627,Abnormally shaped heart,4,Synonym
HP:0004360,Acid base imbalance,4,Synonym
