Sentence,Description,Score,HPO_ID,Remarks
Any anomaly of cell structure.,Hematologic disease,0.5009765625,HP:0001871,Synonym
Any anomaly of cell structure.,Abnormality of the ear,0.499755859375,HP:0000598,Synonym
Any anomaly of cell structure.,Voice abnormality,0.497314453125,HP:0001608,Synonym
Any anomaly of cell structure.,Head and neck abnormality,0.494873046875,HP:0000152,Synonym
Any anomaly of cell structure.,Laboratory abnormality,0.494140625,HP:0001939,Synonym
Any anomaly of cell structure.,Constitutional symptom,0.49365234375,HP:0025142,Definition
Any anomaly of cell structure.,Abnormal eye,0.493408203125,HP:0000478,Synonym
Any anomaly of cell structure.,Hematological abnormality,0.4892578125,HP:0001871,Synonym
Any anomaly of cell structure.,Urogenital abnormalities,0.488525390625,HP:0000119,Synonym
Any anomaly of cell structure.,Skeletal abnormalities,0.488037109375,HP:0000924,Synonym
Any anomaly of cell structure.,Abnormality of limbs,0.48779296875,HP:0040064,Synonym
Any anomaly of cell structure.,Eye disease,0.486083984375,HP:0000478,Synonym
Any anomaly of cell structure.,Abnormality of the thoracic cavity,0.47802734375,HP:0045027,Definition
Any anomaly of cell structure.,Endocrine system disease,0.4736328125,HP:0000818,Synonym
Any anomaly of cell structure.,Fractured trunk,0.45947265625,HP:0041158,Definition
Any anomaly of cell structure.,Genitourinary dysplasia,0.459228515625,HP:0000119,Synonym
Any anomaly of cell structure.,Neurological abnormality,0.45751953125,HP:0000707,Synonym
Any anomaly of cell structure.,bone trunk,0.45751953125,HP:0041158,Synonym
Any anomaly of cell structure.,bone pelvic region of trunk,0.45654296875,HP:0041161,Synonym
Any anomaly of cell structure.,Neurologic abnormalities,0.4501953125,HP:0000707,Synonym
Any anomaly of cell structure.,bone thoracic segment of trunk,0.430908203125,HP:0041054,Synonym
Any anomaly of cell structure.,Fractured pelvic region of trunk,0.42333984375,HP:0041161,Definition
Any anomaly of cell structure.,Dysmelia,0.393798828125,HP:0040064,Synonym
Any anomaly of cell structure.,Fractured thoracic segment of trunk,0.378662109375,HP:0041054,Definition
